No,Date,Time,AN1,AN2,AN3,AN4
1,25 April 2022,21:38:41,35.44,34.30,35.20,35.01
2,25 April 2022,21:38:42,35.34,34.21,35.25,35.06
3,25 April 2022,21:38:44,35.25,34.26,35.20,35.01
4,25 April 2022,21:38:45,35.30,34.26,35.15,34.97
5,25 April 2022,21:38:46,35.25,34.26,35.25,35.01
6,25 April 2022,21:38:47,35.30,34.21,35.20,34.92
7,25 April 2022,21:38:48,35.30,34.26,35.25,34.92
8,25 April 2022,21:38:49,35.20,34.21,35.20,34.97
9,25 April 2022,21:38:51,35.25,34.21,35.20,34.92
10,25 April 2022,21:38:52,35.20,34.21,35.15,34.97
11,25 April 2022,21:38:53,35.25,34.26,35.15,34.92
12,25 April 2022,21:38:54,35.20,34.30,35.30,34.92
13,25 April 2022,21:38:55,35.20,34.26,35.20,34.92
14,25 April 2022,21:38:56,35.25,34.30,35.20,34.92
15,25 April 2022,21:38:58,35.25,34.26,35.20,34.87
16,25 April 2022,21:38:59,35.20,34.26,35.25,34.87
17,25 April 2022,21:39:00,35.20,34.26,35.25,34.87
18,25 April 2022,21:39:01,35.20,34.26,35.15,34.78
19,25 April 2022,21:39:02,35.34,34.26,35.20,34.82
20,25 April 2022,21:39:03,35.20,34.30,35.30,34.82
21,25 April 2022,21:39:05,35.20,34.26,35.25,34.82
22,25 April 2022,21:39:06,35.20,34.35,35.20,34.78
23,25 April 2022,21:39:07,35.20,34.30,35.30,34.87
24,25 April 2022,21:39:08,35.30,34.35,35.20,34.82
25,25 April 2022,21:39:09,35.20,34.26,35.20,34.78
26,25 April 2022,21:39:10,35.20,34.35,35.30,34.78
27,25 April 2022,21:39:12,35.25,34.30,35.20,34.73
28,25 April 2022,21:39:13,35.20,34.30,35.20,34.78
29,25 April 2022,21:39:14,35.20,34.30,35.25,34.78
30,25 April 2022,21:39:15,35.20,34.30,35.20,34.78
31,25 April 2022,21:39:16,35.20,34.30,35.25,34.73
32,25 April 2022,21:39:17,35.25,34.21,35.25,34.78
33,25 April 2022,21:39:19,35.20,34.26,35.20,34.78
34,25 April 2022,21:39:20,35.25,34.30,35.20,34.78
35,25 April 2022,21:39:21,35.20,34.26,35.20,34.73
